datetime,city_name,lat,lon,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,rain,thunder,thunder_count
2022-10-09 18:00:00,56,5.44123,-72.453,24.38,23.17,25.3,23.62,25.16,1013,93,0.79,104,0.0,99,0,0,0
2022-10-09 19:00:00,56,5.44123,-72.453,23.85,22.65,24.72,22.98,24.71,1015,93,0.62,13,0.0,100,0,1,6
2022-10-09 20:00:00,56,5.44123,-72.453,23.95,22.75,24.83,23.06,24.85,1016,93,0.59,356,0.0,99,0,1,4
2022-10-09 21:00:00,56,5.44123,-72.453,23.22,22.55,24.1,22.38,24.04,1017,96,0.56,343,0.11,100,1,0,0
2022-10-09 22:00:00,56,5.44123,-72.453,22.79,21.6,23.55,22.05,23.53,1017,93,0.62,332,0.13,95,1,0,0
2022-10-09 23:00:00,56,5.44123,-72.453,22.49,21.48,23.25,21.9,23.13,1017,94,0.52,318,0.0,87,0,0,0
2022-10-10 00:00:00,56,5.44123,-72.453,22.0,20.99,22.71,20.75,22.97,1016,94,0.78,314,0.0,72,0,0,0
2022-10-10 01:00:00,56,5.44123,-72.453,21.67,20.66,22.35,20.22,22.58,1015,94,0.77,309,0.0,73,0,0,0
2022-10-10 02:00:00,56,5.44123,-72.453,21.34,20.16,21.96,19.53,22.4,1015,93,0.93,308,0.0,61,0,0,0
2022-10-10 03:00:00,56,5.44123,-72.453,21.1,19.57,21.64,19.29,22.15,1015,91,0.89,307,0.0,72,0,0,0
2022-10-10 04:00:00,56,5.44123,-72.453,20.89,19.19,21.38,19.1,21.96,1015,90,0.71,306,0.0,71,0,0,0
2022-10-10 05:00:00,56,5.44123,-72.453,21.2,19.67,21.75,19.62,22.33,1015,91,1.11,307,0.0,81,0,0,0
2022-10-10 06:00:00,56,5.44123,-72.453,21.16,19.28,21.66,19.62,22.21,1016,89,0.97,306,0.0,87,0,0,0
2022-10-10 07:00:00,56,5.44123,-72.453,22.77,20.86,23.43,21.67,23.34,1017,89,0.86,305,0.0,84,0,0,0
2022-10-10 08:00:00,56,5.44123,-72.453,24.45,20.16,24.96,23.97,24.85,1017,77,0.37,134,0.0,69,0,0,0
2022-10-10 09:00:00,56,5.44123,-72.453,27.43,20.76,29.3,26.81,27.95,1018,67,1.15,122,0.0,78,0,0,0
2022-10-10 10:00:00,56,5.44123,-72.453,27.61,20.19,29.29,27.03,28.14,1018,64,1.6,113,0.0,78,0,0,0
